eus;221000244;211000093;1;2;1;64;0;1048640;3;5;;y;z;;;;
eues;221000245;211000093;1;2;2;64;0;1048640;3;6;;y;z;;;;
ayant;221000246;211000093;1;3;3;72;0;1048608;65539;521;;èïâ;;;;;
être;221000247;211000094;1;3;3;126;0;1048577;17891329;5511;;ètr;;;;;
suis;221000248;211000094;1;1;3;2;0;1048578;1;877;;sýi;z;;;;
es;221000249;211000094;1;1;3;4;0;1048578;1;60;;è;z;;;;
est;221000250;211000094;1;1;3;8;0;1048578;26279937;39394;;è;t;;;;
sommes;221000251;211000094;1;2;3;16;0;1048578;17825793;886;;sOm;z;;;;
êtes;221000252;211000094;1;3;3;32;0;1048578;1;212;;èt;z;;;;
sont;221000253;211000094;1;2;3;64;0;1048578;1;12558;;sô;t;;;;
étais;221000254;211000094;1;1;3;6;0;1048580;17825793;319;;étè;z;;;;
était;221000255;211000094;1;1;3;8;0;1048580;1;5375;;étè;t;;;;
étions;221000256;211000094;1;2;3;16;0;1048580;1;144;;étïô;z;;;;
étiez;221000257;211000094;1;3;3;32;0;1048580;1;20;;étïé;z;;;;
étaient;221000258;211000094;1;2;3;64;0;1048580;1;1688;;étè;t;;;16.1.2002 15:35:15;LINGPRD
fus;221000259;211000094;1;1;3;6;0;1048584;1;6;;fy;z;;;;
fut;221000260;211000094;1;1;3;8;0;1048584;1;854;;fy;t;;;;
fûmes;221000261;211000094;1;2;3;16;0;1048584;1;1;;fym;z;;;;
fûtes;221000262;211000094;1;3;3;32;0;1048584;1;0;;fyt;z;;;;
furent;221000263;211000094;1;2;3;64;0;1048584;1;125;;fyr;^t;;;;
serai;221000264;211000094;1;1;3;2;0;1048592;1;41;;s^ré;;;;;
seras;221000265;211000094;1;1;3;4;0;1048592;1;1;;s^ra;z;;;;
sera;221000266;211000094;1;1;3;8;0;1048592;1;2898;;s^ra;;;;;
serons;221000267;211000094;1;2;3;16;0;1048592;1;49;;s^rô;z;;;;
serez;221000268;211000094;1;3;3;32;0;1048592;1;9;;s^ré;z;;;;
seront;221000269;211000094;1;2;3;64;0;1048592;1;1285;;s^rô;t;;;;
serais;221000270;211000094;1;1;3;6;0;8388610;1;47;;s^rè;z;;;;
